"","title","male_vs_female","male_rating","genre","popular","budget","young","critics","reviews","male_vote_prop","male_votes","duration","year","male_gt_female","total_votes","comedy","drama"
"11023","Fuga in tacchi a spillo",-0.8,4.9,"Action",47132,3.5e+07,0.245415449529374,175,156,0.517641129032258,24648,87,2015,0,47616,"no","no"
"11024","Killing Hasselhoff",0.100000000000001,4.4,"Comedy",1800,6e+06,0.106200122774708,11,25,0.713222416812609,1629,80,2017,1,2284,"no","no"
"11031","Batman v Superman: Dawn of Justice",0.2,6.5,"Action",612066,2.5e+08,0.318283563932458,813,3766,0.603878867031263,369906,152,2016,1,612550,"no","no"
"11034","Tempo limite",-0.0999999999999996,5.5,"Action",6345,16500000,0.138372837924407,24,42,0.685751940254796,4683,93,2016,0,6829,"no","no"
"11035","L'incredibile storia di Winter il delfino 2",-0.7,6.2,"Drama",7691,3.6e+07,0.198467622343055,58,38,0.494923547400612,4046,107,2014,0,8175,"no","no"
"11039","Let's Kill Ward's Wife",0.100000000000001,5.4,"Comedy",4901,5e+06,0.20207536865101,16,18,0.680037140204271,3662,82,2014,1,5385,"no","no"
"11046","Camp X-Ray",-0.4,6.8,"Drama",38282,1e+06,0.295204368973462,100,90,0.604601970799154,23438,117,2014,0,38766,"no","no"
"11055","Daylight's End",0.2,5.4,"Action",4369,2e+06,0.0768774116948649,40,102,0.694209767154338,3369,105,2016,1,4853,"no","no"
"11064","Mamma che notte!",-0.7,5.1,"Comedy",12560,5e+06,0.181788564912852,53,159,0.470637841153021,6139,98,2014,0,13044,"no","no"
"11066","Stonewall",0.100000000000001,5.2,"Drama",2941,13500000,0.164325842696629,83,41,0.623649635036496,2136,129,2015,1,3425,"no","no"
"11079","The Night Before Easter",0.2,3.9,"Horror",-367,4000,0.0909090909090909,15,2,0.752136752136752,88,65,2014,1,117,"no","no"
"11111","Jackass - Nonno cattivo",0.2,6.5,"Comedy",87855,1.5e+07,0.318616881001505,161,178,0.729722998901957,64463,92,2013,1,88339,"no","no"
"11122","Creed - Nato per combattere",0.0999999999999996,7.6,"Drama",241284,3.5e+07,0.300613876581104,500,518,0.6683928394163,161596,133,2015,1,241768,"no","no"
"11158","Il sangue di Cristo",-0.0999999999999996,4.2,"Comedy",965,1420000,0.134730538922156,51,15,0.691511387163561,1002,123,2014,0,1449,"no","no"
"11159","Crazy & Rich",-0.5,6.7,"Comedy",132526,3e+07,0.284477314276217,250,1135,0.452372002105105,60170,120,2018,0,133010,"no","no"
"11167","Road Hard",0.6,6.1,"Comedy",1263,1500000,0.0451664025356577,14,18,0.722381224957069,1262,98,2015,1,1747,"no","no"
"11170","American Beach House",0.4,2.3,"Comedy",389,2e+06,0.182108626198083,1,13,0.717067583046964,626,90,2015,1,873,"no","no"
